Pais;Codigo_Categoria;Descripcion_Categoria;Codigo_Categoria_Incentivos;Descripcion_Categoria_Incentivos;Codigo_Subcategoria;Descripcion_Subcategoria;Codigo_Marca;Descripcion_Marca;Codigo_Familia;Descripcion_Familia;Codigo_Demanda;Descripcion_Demanda;Codigo_Sabor;Descripcion_Sabor;Codigo_MC1;Codigo_SAP;Codigo_Barras_Display;Descripcion_Articulo_SAP;Codigo_Tipo_Producto;Descripcion_Tipo_Producto;Habilitado;Estado;Unidades_Por_Display;Peso_por_display_KG;Displays_por_Caja;Peso_por_Caja_KG;IVA;Precio_por_Display;Precio_Unidad;Precio_Caja
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR006;CHIPS AHOY ;F0016;CHIPS AHOY X 45G;AC011;CHIPS AHOY PORTION PACK_FF;SM00015;CHOCOLATE;77501681567400;77501681567400;7750168214292;CHIPS AHOY CO 24X6X45G;ZREGU;Regular;MDLZ;Activo;6.00;0.27800;24.00;7.15100;1,053.78;5,546.22;924.37;133,109.28
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR006;CHIPS AHOY ;F0016;CHIPS AHOY X 45G;AC011;CHIPS AHOY PORTION PACK_FF;SM00015;CHOCOLATE;77501681567415;77501681567415;7750168214292;CHIPS AHOY EXP 24X6X45G;ZREGU;Regular;MDLZ;Activo;6.00;0.27800;24.00;7.15100;1,053.78;5,546.22;924.37;133,109.28
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR006;CHIPS AHOY ;F0058;MINI CHIPS AHOY;AC009;CHIPS AHOY MINI_FF;SM00015;CHOCOLATE;76222104701300;76222104701300;7750168000697;MINICHIPS AHOY EXP 48X50G;ZREGU;Regular;MDLZ;Activo;0.00;0.00000;0.00;2.65700;255.46;0.00;1,344.54;64,537.92
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR006;CHIPS AHOY ;F0058;MINI CHIPS AHOY;AC009;CHIPS AHOY MINI_FF;SM00015;CHOCOLATE;76222106581000;76222106581000;7622210569530;READY TO SELL MINI CHIPS AHOY;ZREGU;Regular;MDLZ;Activo;1.00;0.36100;4.00;1.65000;1,120.62;5,898.00;5,898.00;23,592.00
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR006;CHIPS AHOY ;F0058;MINI CHIPS AHOY;AC009;CHIPS AHOY MINI_FF;SM00015;CHOCOLATE;76222106581001;76222106581001;7622210569530;READY TO SELL MINI CHIPS AHOY;ZOFER;Oferta;MDLZ;Activo;6.00;0.30600;4.00;1.52400;1,120.62;5,898.00;983.00;23,592.00
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR006;CHIPS AHOY ;F0058;MINI CHIPS AHOY;AC009;CHIPS AHOY MINI_FF;SM00015;CHOCOLATE;77021330104700;77021330104700;7750168000697;MINICHIPS AHOY CO 48X50G;ZREGU;Regular;MDLZ;Activo;0.00;0.00000;0.00;2.65700;255.46;0.00;1,344.54;64,537.92
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR017;OREO;F0065;OREO DARK FUDGE;AC040;OREO ENROBED_FF;SM00015;CHOCOLATE;76222017267200;76222017267200;7622201726737;OREO DARK FUDGE CO 48X131.2G;ZREGU;Regular;MDLZ;Activo;0.00;0.00000;0.00;8.66100;0.00;0.00;0.00;0.00
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR017;OREO;F0065;OREO DARK FUDGE;AC040;OREO ENROBED_FF;SM00015;CHOCOLATE;76222017345400;76222017345400;7622201726737;OREO DARK FUDGE EXP 24X131.2G;ZREGU;Regular;MDLZ;Activo;0.00;0.00000;0.00;4.65300;829.91;0.00;4,367.92;104,830.08
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR017;OREO;F0069;OREO SLUG 126G;AC045;OREO SLUG - PACK_FF;SM00015;CHOCOLATE;76222017603100;76222017603100;7622201760328;OREO ROLLO CHOCO CO 30X108G;ZREGU;Regular;MDLZ;Activo;0.00;0.00000;0.00;3.48600;423.11;0.00;2,226.89;66,806.70
Colombia;ZCBISC;BISCUITS;-000000054;Biscuits;ZSCOO;COOKIES;BR017;OREO;F0069;OREO SLUG 126G;AC045;OREO SLUG - PACK_FF;SM00088;VAINILLA;76222014618200;76222014618200;7622201461836;OREO SLUG WACAM 30X126G;ZREGU;Regular;MDLZ;Activo;0.00;0.00000;0.00;4.31700;423.11;0.00;2,226.89;66,806.70
